CDOR3M,3M3M,6M3M,9M3M,12M3M,15M3M,18M3M,21M3M,24M3M
0.954,1.098822115,1.203585165,1.292596154,1.352335165,1.402005495,1.442142857,1.48228022,1.523021978
0.935,1.062668269,1.167884615,1.266936813,1.326607143,1.371565934,1.411703297,1.451840659,1.492472527
0.93,1.076586538,1.186696429,1.281277473,1.341236264,1.391126374,1.431263736,1.471401099,1.511923077
0.922,1.085559753,1.200789835,1.306081731,1.370686813,1.420686813,1.460824176,1.500961538,1.541373626
0.913,1.046308379,1.152259615,1.257620192,1.328653846,1.389052198,1.429505495,1.469642857,1.50978022
0.909,1.039934753,1.15092033,1.256466346,1.337582418,1.398392857,1.439065934,1.479203297,1.519340659
0.902,1.033818681,1.130432692,1.230535714,1.306909341,1.367733516,1.418282967,1.458763736,1.498901099
0.898,1.023125,1.119388736,1.228880495,1.334519231,1.416098901,1.467733516,1.508324176,1.548461538
0.888,0.974488324,1.049745879,1.139004121,1.224629121,1.295817308,1.356620879,1.407355769,1.448021978
0.889,0.921274038,0.960879121,1.019024725,1.08375,1.144436813,1.204642857,1.264848901,1.315879121
0.889,0.911476648,0.946009615,0.998918269,1.063035714,1.123777473,1.183983516,1.24418956,1.29532967
0.89,0.916146978,0.94625,0.993921703,1.052912088,1.113118132,1.173324176,1.23353022,1.28478022
0.893,0.915817308,0.94592033,0.997709478,1.052898352,1.121201923,1.182664835,1.242870879,1.294230769
0.895,0.920487637,0.950590659,1.002105082,1.061593407,1.121799451,1.182005495,1.242211538,1.293681319
0.898,0.920415522,0.945501374,0.991174451,1.049615385,1.109821429,1.170027473,1.230233516,1.282032967
0.899,0.920140797,0.949271978,0.995625,1.049876374,1.109162088,1.177596154,1.239574176,1.29978022
0.899,0.924866071,0.953942308,0.996067995,1.049271978,1.116586538,1.186826923,1.257067308,1.319120879
0.894,0.928509615,0.958612637,1.004526099,1.066607143,1.135817308,1.206057692,1.276298077,1.338461538
0.892,0.924316621,0.953282967,1.002874313,1.065892857,1.135048077,1.205288462,1.275528846,1.337802198
0.89,0.919793956,0.954725275,1.006061126,1.0725,1.150274725,1.222980769,1.293221154,1.355824176
0.888,0.914574176,0.945625,0.995456731,1.061730769,1.139395604,1.212211538,1.282451923,1.345164835
0.886,0.905765797,0.935240385,0.984852335,1.050961538,1.128516484,1.201442308,1.271682692,1.334505495
0.886,0.902067308,0.922754121,0.958543956,1.013021978,1.080432692,1.150673077,1.220913462,1.291153846
0.886,0.893313874,0.908324176,0.941785714,0.992019231,1.057355769,1.127596154,1.197836538,1.261208791
0.886,0.888258929,0.903104396,0.936346154,0.989725275,1.056586538,1.126826923,1.197067308,1.260549451
0.886,0.875,0.891105769,0.925906593,0.979065934,1.045817308,1.116057692,1.186298077,1.24989011
0.888,0.893149038,0.913997253,0.953650412,1.008406593,1.081483516,1.161758242,1.242032967,1.315769231
0.888,0.875,0.893667582,0.936284341,0.995892857,1.070604396,1.150879121,1.231153846,1.305
0.888,0.877070742,0.892678571,0.934635989,0.99375,1.061971154,1.138241758,1.218516484,1.292692308
0.888,0.885748626,0.913131868,0.961995192,1.028887363,1.107087912,1.187362637,1.267637363,1.341923077
0.889,0.883458104,0.912692308,0.964244505,1.035934066,1.12198489,1.206483516,1.286758242,1.361153846
0.895,0.898293269,0.927252747,0.978585165,1.047239011,1.12532967,1.205604396,1.285879121,1.360384615
0.9,0.900418956,0.92135989,0.965182005,1.028653846,1.104450549,1.184725275,1.259375,1.329615385
0.907,0.907633929,0.930370879,0.968210852,1.021153846,1.086586538,1.162087912,1.237067308,1.307307692
0.912,0.912469093,0.932534341,0.970240385,1.022953297,1.085817308,1.161208791,1.236298077,1.306538462
0.912,0.912304258,0.939615385,0.984690934,1.039835165,1.105048077,1.175288462,1.245528846,1.310659341
0.916,0.917139423,0.939381868,0.974313187,1.021744505,1.079381868,1.144519231,1.214759615,1.28
0.924,0.941274038,0.981078297,1.028592033,1.08114011,1.143509615,1.21375,1.283990385,1.349340659
0.924,0.940120192,0.97959478,1.026943681,1.079326923,1.141201923,1.211442308,1.281682692,1.347362637
0.924,0.944735577,0.984100275,1.031394231,1.085879121,1.150432692,1.220673077,1.290913462,1.352252747
0.926,0.949350962,0.988605769,1.037929258,1.099423077,1.169663462,1.239903846,1.310144231,1.371703297
0.926,0.952956731,1.002135989,1.059354396,1.121607143,1.193021978,1.269134615,1.339375,1.405384615
0.926,0.947462225,0.994574176,1.046720467,1.103901099,1.168125,1.238365385,1.304519231,1.360604396
0.926,0.942427885,0.981133242,1.028097527,1.078269231,1.132129121,1.196057692,1.262541209,1.318956044
0.934,0.952043269,0.992376374,1.044302885,1.101263736,1.165048077,1.231675824,1.291881868,1.348406593
0.938,0.946658654,0.983461538,1.026998626,1.07717033,1.13081044,1.194519231,1.261222527,1.317857143
0.94,0.949663462,0.983021978,1.024804258,1.073282967,1.130151099,1.190357143,1.250563187,1.307307692
0.941,0.960889423,1.000728022,1.052489698,1.109285714,1.172740385,1.242980769,1.309903846,1.37010989
0.941,0.960686813,1.004883242,1.060072115,1.116648352,1.179663462,1.249903846,1.317266484,1.377472527
0.941,0.967809066,1.019278846,1.077098214,1.142321429,1.211593407,1.291868132,1.369375,1.436813187
0.941,0.967259615,1.017431319,1.068863324,1.12532967,1.188125,1.260989011,1.338605769,1.408846154
0.941,0.971710165,1.023070055,1.080669643,1.147115385,1.219835165,1.30010989,1.377836538,1.448076923
0.94,0.970061813,1.021256868,1.078526786,1.144807692,1.217197802,1.297472527,1.375528846,1.443516484
0.941,0.96760989,1.008715659,1.056826923,1.11603022,1.174278846,1.246593407,1.324759615,1.395
0.941,0.97217033,1.013221154,1.061167582,1.121373626,1.183509615,1.255714286,1.335989011,1.414230769
0.941,0.971730769,1.013585165,1.065508242,1.126607143,1.192740385,1.264835165,1.34510989,1.423461538
0.941,0.969718407,1.003035714,1.054848901,1.115892857,1.181971154,1.253956044,1.334230769,1.412692308
0.94,0.968729396,1.002026099,1.059838599,1.136442308,1.221043956,1.302733516,1.391593407,1.470384615
0.932,0.958399725,0.991421703,1.048413462,1.11989011,1.20143544,1.291744505,1.380714286,1.459615385
0.93,0.953070055,0.984759615,1.031552198,1.092321429,1.158125,1.22956044,1.309835165,1.388846154
0.93,0.957740385,0.98926511,1.036383929,1.102623626,1.178406593,1.258681319,1.338956044,1.419230769
0.93,0.952410714,0.983770604,1.031105769,1.101799451,1.177527473,1.257802198,1.338076923,1.418351648
0.928,0.951658654,0.987541209,1.039340659,1.119903846,1.20489011,1.28581044,1.376119505,1.465714286
0.928,0.951274038,0.98739011,1.048677885,1.134203297,1.225013736,1.325357143,1.425130495,1.514835165
0.926,0.945889423,0.981730769,1.04290522,1.133571429,1.233914835,1.334258242,1.434141484,1.523956044
0.925,0.945649038,0.991160714,1.057022665,1.152472527,1.252815934,1.353159341,1.453152473,1.543076923
0.928,0.945054209,0.990309066,1.055669643,1.151373626,1.251717033,1.35206044,1.452163462,1.542472527
0.929,0.944561224,0.988825549,1.058413462,1.153173077,1.258341346,1.36864011,1.469107143,1.559505495
0.93,0.944435587,0.993145604,1.067475962,1.162129121,1.2671875,1.377431319,1.478008242,1.578351648
0.932,0.953899872,1.007355769,1.081651786,1.171291209,1.276033654,1.376565934,1.476909341,1.567527473
0.933,0.958433036,1.016456044,1.100271291,1.204519231,1.314635989,1.425013736,1.52581044,1.616538462
0.933,0.962816327,1.030096154,1.119004121,1.223365385,1.333427198,1.443804945,1.544711538,1.635549451
0.935,0.962034439,1.018818681,1.092530907,1.190384615,1.290728022,1.391071429,1.491414835,1.582582418
0.936,0.957273597,1.013159341,1.082259615,1.161428571,1.259629121,1.359972527,1.451284341,1.541593407
0.936,0.952614796,1.003125,1.062706044,1.140549451,1.229677198,1.319986264,1.41029533,1.500604396
0.936,0.952410714,0.998200549,1.057046703,1.130315934,1.209945055,1.29021978,1.379306319,1.460769231
0.936,0.947904974,0.988385989,1.042105082,1.101593407,1.179065934,1.259340659,1.348317308,1.42989011
0.938,0.942445791,0.986002747,1.040291896,1.107884615,1.186428571,1.266703297,1.355350275,1.437252747
